ID,ADDRESS1,INSTITUTION,ADDRESS2,CITY,PROVINCE,ZIP,COUNTRY,LATITUDE,LONGITUDE
713159,1220 WIEN,VIENNA INTERNATIONAL SCHOOL,STRASSE DER MENSCHENRECHTE 1,VIENNA,,,AUSTRIA,48.244774,16.431886
713080,SALMANNSDORFERST 47,AMERICAN INTL SCHOOL VIENNA,,VIENNA,,1190,AUSTRIA,48.2537497,16.287821
713158,WAGRAMER STRASSE 175,INTERNATIONAL CHRST SCH-VIENNA,PANETHGASSE 6A,VIENNA,,A-1220,AUSTRIA,48.258439,16.4487169
713050,AUBRUNNERWEG 4 A-4040,LINZ INTERNATIONAL SCH - AUHOF,,LINZ,,,AUSTRIA,48.3339143,14.3203974
661007,8 ABBASZADEH ST,BAKU OXFORD SCHOOL,,BAKU,,AZ1004,AZERBAIJAN,40.3561247,49.8234139
661005,SHOVKAT ALAKBAROVA 2,LYCEUM 6,,BAKU,,AZ1000,AZERBAIJAN,40.362387,49.8320534
661000,YENI YASAMAL STONEPAY ROYAL PK,INTERNATIONAL SCH AZERBAIJAN,,BAKU,,AZ1138,AZERBAIJAN,40.376792,49.790372
661003,7 BESTI BAGIROVA STREET,EUROPEAN AZERBAIJAN SCHOOL,,BAKU,,1141,AZERBAIJAN,40.3840633,49.8125497
661001,US EMBASSY BAKU,BAKU INTERNATIONAL SCHOOL,111 AZADLIQ PROSPECKTI,BAKU,,AZ1107,AZERBAIJAN,40.3869885,49.8430172
661004,FATALIKHAN KHOYSKI 109,ISTAK LYCEUM,,BAKU,,AZ1052,AZERBAIJAN,40.4047033,49.86486
611008,ZIGH HIGHWAY 22 KM TOWARDS,SABIS SUN INTERNATIONAL SCHOOL,H ALIYEV INTERNATIONAL AIRPORT,BAKU,,1123,AZERBAIJAN,40.4056245,50.0805359
661010,ZIYA BUNYADOV 3,IDRAK LYCEUM,BINAGADI,BAKU,,AZ1106,AZERBAIJAN,40.4114605,49.8355518
661006,9 AJAMI NAKHCHIVANI STR,DUNYA IB SCHOOL,,BAKU,,1130,AZERBAIJAN,40.4142519,49.8368474
661009,203 HEYDAR ALIYEV AVENUE,OXBRIDGE ACADEMY,,BAKU,,AZ1029,AZERBAIJAN,40.4205585,49.9097046
654018,BLDG 1525 RD 4226 W RIFFA 942,SHAIKHA HESSA GIRLS SCHOOL,PO BOX 37799,WEST RIFFA,,,BAHRAIN,26.1011109,50.545435
654021,PO BOX 3050,RIFFA VIEWS INTERNATIONAL SCHL,,MANAMA,,,BAHRAIN,26.1025627,50.5649667
