id,Roster_Year,First_Name,Last_Name,Accolade,College
1645,2011,London,Woodberry,Second Team,MD NOT APPLICABLE
1646,2011,Kirk,Urso,Second Team,NC NOT APPLICABLE
1647,2011,Brian,Ownby,Second Team,VA NOT APPLICABLE
1648,2011,Brian,Span,Second Team,VA NOT APPLICABLE
1649,2011,Diego,Medina-Mendez,All-Freshman Team,Boston College
1650,2011,Brynjar,Benediktsson,All-Freshman Team,CU NOT APPLICABLE
1651,2011,Amadou,Dia,All-Freshman Team,CU NOT APPLICABLE
1652,2011,Andrew,Morales,All-Freshman Team,Duke University
1653,2011,Nick,Palodichuk,All-Freshman Team,Duke University
1654,2011,Mikey,Lopez,All-Freshman Team,NC NOT APPLICABLE
1655,2011,Jordan,McCrary,All-Freshman Team,NC NOT APPLICABLE
1656,2011,Boyd,Okwuonu,All-Freshman Team,NC NOT APPLICABLE
1657,2011,Ryan,Zinkhan,All-Freshman Team,VA NOT APPLICABLE
1658,2011,Teddy,Mullin,All-Freshman Team,Wake Forest University
1659,2011,Sean,Okoli,All-Freshman Team,Wake Forest University
1660,2012,Kyle,Bekker,First Team,Boston College
1661,2012,Charlie,Rugg,First Team,Boston College
1662,2012,James,Belshaw,First Team,Duke University
1663,2012,Sebastien,Ibeagha,First Team,Duke University
1664,2012,Patrick,Mullins,First Team,MD NOT APPLICABLE
1665,2012,John,Stertzer,First Team,MD NOT APPLICABLE
1666,2012,Mikey,Lopez,First Team,NC NOT APPLICABLE
1667,2012,Boyd,Okwuonu,First Team,NC NOT APPLICABLE
1668,2012,Alex,Martinez,First Team,ST NOT APPLICABLE
